Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
E,ENI S.p.A. Common Stock,$55.22,1.12,2.07%,86882184798.00,Italy,,671338,Energy,Oil & Gas Production
EDAP,EDAP TMS S.A. American Depositary Shares,$3.73,-0.04,-1.061%,139807808.00,France,1997,35268,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDRY,EuroDry Ltd. Common Shares ,$19.87,1.17,6.257%,56166469.00,Greece,,45324,Consumer Discretionary,Marine Transportation
EHLD,Euroholdings Ltd. Common Stock ,$7.44,-0.08,-1.064%,20955616.00,Greece,,7581,Consumer Discretionary,Marine Transportation
ENGS,Energys Group Limited Ordinary Shares,$1.13,-0.01,-0.877%,35316360.00,United Kingdom,2025,264512,Industrials,Engineering & Construction
EQNR,Equinor ASA,$41.53,0.41,0.997%,103836255876.00,Norway,,8502803,Energy,Integrated oil Companies
ERIC,Ericsson American Depositary Shares,$11.14,-0.30,-2.622%,37556858328.00,Sweden,,7165194,Technology,Radio And Television Broadcasting And Communications Equipment
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),$60.81,-1.80,-2.875%,426072076.00,Greece,,84509,Consumer Discretionary,Marine Transportation
ETN,Eaton Corporation PLC Ordinary Shares,$357.36,0.26,0.073%,138650441102.00,Ireland,,2152087,Technology,Industrial Machinery/Components
EVAX,Evaxion A/S American Depositary Share,$3.52,-0.07,-1.95%,29357557.00,Denmark,2021,30246,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EVO,Evotec SE American Depositary Shares,$2.42,-0.04,-1.626%,214637111.00,Germany,2021,48453,Health Care,Biotechnology: Pharmaceutical Preparations
FER,Ferrovial SE Ordinary Shares,$62.56,-0.33,-0.525%,45009276965.00,Netherlands,,1391709,Industrials,Military/Government/Technical
FERG,Ferguson Enterprises Inc. Common Stock,$224.76,3.45,1.559%,43950909295.00,United Kingdom,2021,945485,Miscellaneous,Miscellaneous
FLUT,Flutter Entertainment plc Ordinary Shares,$100.50,-3.07,-2.964%,17605701957.00,Ireland,2024,3094186,Technology,Computer Software: Programming Data Processing
FMS,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),$22.06,-0.33,-1.474%,12322225606.00,Germany,,284429,Health Care,Misc Health and Biotechnology Services
GAMB,Gambling.com Group Limited Ordinary Shares,$3.70,-0.23,-5.852%,129859603.00,Jersey,2021,1046782,Consumer Discretionary,Services-Misc. Amusement & Recreation
GASS,StealthGas Inc. Common Stock,$9.27,-0.05,-0.536%,342792354.00,Greece,2005,70851,Consumer Discretionary,Marine Transportation
GDEV,GDEV Inc. Ordinary Shares,$15.00,-0.99,-6.191%,271951350.00,Cyprus,,2013,Technology,EDP Services
GDEVW,GDEV Inc. Warrant,$0.0055,0.0004,7.843%,99715.00,Cyprus,,125,Technology,EDP Services
GENI,Genius Sports Limited Ordinary Shares,$4.33,-0.08,-1.814%,1113893262.00,Guernsey,2021,4893525,Consumer Discretionary,Services-Misc. Amusement & Recreation
GHRS,GH Research PLC Ordinary Shares,$13.15,-0.94,-6.671%,815686544.00,Ireland,2021,87808,Health Care,Biotechnology: Pharmaceutical Preparations
GLBS,Globus Maritime Limited Common Stock,$1.94,-0.01,-0.513%,41869664.00,Greece,,42525,Consumer Discretionary,Marine Transportation
GLOP^A,GasLog Partners LP 8.625% Series A Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,$25.47,-0.08,-0.313%,,Greece,,5354,,
GLOP^B,GasLog Partners LP 8.200% Series B Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,$25.60,-0.23,-0.89%,,Greece,,1278,,
GLOP^C,GasLog Partners LP 8.500% Series C Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,$25.7801,0.1651,0.645%,,Greece,,115,,
GLPG,Galapagos NV American Depositary Shares,$28.93,-1.04,-3.47%,1906402264.00,Belgium,2015,371326,Health Care,Biotechnology: Pharmaceutical Preparations
GMAB,Genmab A/S ADS,$25.82,-0.21,-0.807%,16586356946.00,Denmark,2019,1816196,Health Care,Biotechnology: Pharmaceutical Preparations
GNTA,Genenta Science S.p.A. American Depositary Shares,$0.7097,-0.1183,-14.287%,16629820.00,Italy,2021,1159685,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GRFS,Grifols S.A. American Depositary Shares,$7.49,-0.13,-1.706%,5149786261.00,Spain,,873968,Health Care,Biotechnology: Pharmaceutical Preparations
GRMN,Garmin Ltd. Common Stock (Switzerland),$230.16,-5.91,-2.503%,44301387833.00,Switzerland,2000,690638,Industrials,Industrial Machinery/Components
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),$53.84,-0.10,-0.185%,109801971907.00,United Kingdom,2022,3034203,Health Care,Biotechnology: Pharmaceutical Preparations
GSL,Global Ship Lease Inc New Class A Common Shares,$36.65,-1.44,-3.781%,1316403643.00,United Kingdom,,372390,Consumer Discretionary,Marine Transportation
GSL^B,Global Ship Lease Inc. Depository Shares Representing 1/100th Perpetual Preferred Series B% (Marshall Island),$27.15,-0.1944,-0.711%,,United Kingdom,,9464,,
GSM,Ferroglobe PLC Ordinary Shares,$4.30,0.02,0.467%,802491245.00,United Kingdom,,953496,Basic Materials,Metal Mining
GTES,Gates Industrial Corporation plc Ordinary Shares,$22.11,-0.60,-2.642%,5612749505.00,United Kingdom,2018,1624977,Industrials,Industrial Machinery/Components
GTX,Garrett Motion Inc. Common Stock,$17.76,-0.58,-3.162%,3373885884.00,Switzerland,,1599878,Consumer Discretionary,Auto Parts:O.E.M.
HLN,Haleon plc American Depositary Shares (Each representing two Ordinary Shares),$9.80,0.05,0.513%,43641710301.00,United Kingdom,2022,7255148,Consumer Discretionary,Package Goods/Cosmetics
HMR,Heidmar Maritime Holdings Corp. Common Stock,$0.8333,0.0183,2.245%,48467512.00,Greece,,43941,Consumer Discretionary,Marine Transportation
HSBC,HSBC Holdings plc. Common Stock,$79.19,-0.44,-0.553%,272021448903.00,United Kingdom,,2642058,Finance,Savings Institutions
HTOO,Fusion Fuel Green PLC Class A Ordinary Shares,$2.65,-0.04,-1.487%,7997281.00,Ireland,,50683,Energy,Industrial Machinery/Components
ICLR,ICON plc Ordinary Shares,$102.08,-1.00,-0.97%,8243660269.00,Ireland,1998,1045815,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ICON,Icon Energy Corp. Common stock,$0.8405,-0.0494,-5.551%,2701425.00,Greece,2024,58028,Consumer Discretionary,Marine Transportation
IFRX,InflaRx N.V. Common Stock,$0.9119,-0.0181,-1.946%,65923858.00,Germany,2017,254094,Health Care,Biotechnology: Pharmaceutical Preparations
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),$129.60,-2.87,-2.167%,19620351749.00,United Kingdom,,172747,Consumer Discretionary,Hotels/Resorts
IMCR,Immunocore Holdings plc American Depositary Shares,$29.44,-1.07,-3.507%,1415720906.00,United Kingdom,2021,382921,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMPP,Imperial Petroleum Inc. Common Shares,$4.54,0.11,2.483%,207699266.00,Greece,,461538,Consumer Discretionary,Marine Transportation
IMPPP,Imperial Petroleum Inc. 8.75% Series A Cumulative Redeemable Perpetual Preferred Shares,$26.28,-0.02,-0.076%,1202276808.00,Greece,,544,Consumer Discretionary,Marine Transportation
IMTX,Immatics N.V. Ordinary Shares,$9.37,-0.40,-4.094%,1256484917.00,Germany,,313147,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INDV,Indivior Pharmaceuticals Inc. Common Stock,$28.97,-0.98,-3.272%,3614581685.00,United Kingdom,,1438495,Health Care,Biotechnology: Pharmaceutical Preparations
ING,ING Group N.V. Common Stock,$24.79,-0.33,-1.314%,71951430286.00,Netherlands,1997,3410927,Finance,Commercial Banks
IOBT,IO Biotech Inc. Common Stock,$0.193,-0.012,-5.854%,13886127.00,Denmark,2021,660312,Health Care,Biotechnology: Pharmaceutical Preparations
IPHA,Innate Pharma S.A. ADS,$1.30,0.05,4.00%,119804292.00,France,2019,67907,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ITRM,Iterum Therapeutics plc Ordinary Share,$0.0356,-0.1404,-79.773%,1880933.00,Ireland,2018,75252517,Health Care,Biotechnology: Pharmaceutical Preparations
IVA,Inventiva S.A. American Depository Shares,$5.72,-0.37,-6.076%,547188877.00,France,2020,179439,Health Care,Biotechnology: Pharmaceutical Preparations
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),$182.69,-6.46,-3.415%,11246460342.00,Ireland,2007,827062,Health Care,Biotechnology: Pharmaceutical Preparations
JCI,Johnson Controls International plc Ordinary Share,$131.29,-0.28,-0.213%,80350065816.00,Switzerland,,3371981,Industrials,Industrial Machinery/Components
JHG,Janus Henderson Group plc Ordinary Shares,$51.38,-0.01,-0.019%,7916404739.00,United Kingdom,2017,3316172,Finance,Investment Managers
JHX,James Hardie Industries plc. Ordinary Shares,$18.02,-0.67,-3.585%,10509984800.00,Ireland,2025,8538942,Industrials,Building Materials
KALV,KalVista Pharmaceuticals Inc. Common Stock,$19.33,0.38,2.005%,977059844.00,United Kingdom,2015,2063656,Health Care,Biotechnology: Pharmaceutical Preparations
KNOP,KNOT Offshore Partners LP Common Units representing Limited Partner Interests,$10.32,0.41,4.137%,351345236.00,United Kingdom,2013,273324,Consumer Discretionary,Marine Transportation
LAES,SEALSQ Corp Ordinary Shares,$2.45,-0.22,-8.24%,470914816.00,Switzerland,,7328864,Technology,Semiconductors
LAFA,LaFayette Acquisition Corp. Ordinary Share,$9.97,0.00,0.00%,0.00,France,2025,265611,,
LAFAU,LaFayette Acquisition Corp. Unit,$10.10,0.04,0.398%,0.00,France,2025,810,,
LBTYA,Liberty Global Ltd. Class A Common Shares,$11.97,-0.09,-0.746%,4010293719.00,United Kingdom,,1096859,Telecommunications,Cable & Other Pay Television Services
LBTYB,Liberty Global Ltd. Class B Common Shares,$13.50,0.20,1.504%,4522887653.00,United Kingdom,,2980,Telecommunications,Cable & Other Pay Television Services
LBTYK,Liberty Global Ltd. Class C Common Shares,$11.63,-0.08,-0.683%,3896383955.00,United Kingdom,,859205,Telecommunications,Cable & Other Pay Television Services
LIQT,LiqTech International Inc. Common Stock,$1.87,0.09,5.056%,18602463.00,Denmark,,41923,Technology,Industrial Machinery/Components
LIVN,LivaNova PLC Ordinary Shares,$61.85,-1.80,-2.828%,3382568831.00,United Kingdom,,766232,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LXFR,Luxfer Holdings PLC Ordinary Shares,$12.22,-0.13,-1.053%,325546103.00,United Kingdom,2012,138833,Basic Materials,Major Chemicals
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),$80.45,2.73,3.513%,25918574730.00,Netherlands,,7416745,Industrials,Major Chemicals
LYG,Lloyds Banking Group Plc American Depositary Shares,$4.83,-0.11,-2.227%,71585497205.00,United Kingdom,,24931626,Finance,Commercial Banks
MANU,Manchester United Ltd. Class A Ordinary Shares,$16.35,-0.13,-0.789%,2819211845.00,United Kingdom,2012,309691,Consumer Discretionary,Services-Misc. Amusement & Recreation
MDXH,MDxHealth SA Ordinary Shares,$2.44,-0.26,-9.63%,125329429.00,Belgium,2021,205501,Health Care,Medical Specialities
MLEC,Moolec Science SA Ordinary Shares,$6.945,-0.275,-3.809%,5042890.00,Luxembourg,,6587,Finance,Blank Checks
MLECW,Moolec Science SA Warrant,$0.0261,0.0041,18.636%,18952.00,Luxembourg,,2136142,Finance,Blank Checks
MOLN,Molecular Partners AG American Depositary Shares,$4.0525,-0.2465,-5.734%,163571442.00,Switzerland,2021,1843,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MREO,Mereo BioPharma Group plc American Depositary Shares,$0.3291,-0.0098,-2.892%,51058419.00,United Kingdom,,1444578,Health Care,Biotechnology: Pharmaceutical Preparations
MRX,Marex Group plc Ordinary Shares,$42.96,2.41,5.943%,3184746678.00,United Kingdom,2024,2162761,Finance,Investment Bankers/Brokers/Service
MT,Arcelor Mittal NY Registry Shares NEW,$49.62,-1.39,-2.725%,37767063139.00,Luxembourg,,1815787,Industrials,Steel/Iron Ore
MTD,Mettler-Toledo International Inc. Common Stock,$1232.04,-37.96,-2.989%,24946968100.00,Switzerland,1997,159659,Industrials,Biotechnology: Laboratory Analytical Instruments
MTLS,Materialise NV American Depositary Shares,$4.80,-0.14,-2.834%,283522493.00,Belgium,2014,75641,Technology,Computer Software: Prepackaged Software
MX,Magnachip Semiconductor Corporation Common Stock,$2.87,0.03,1.056%,104585251.00,Luxembourg,2011,279340,Technology,Semiconductors
NAMS,NewAmsterdam Pharma Company N.V. Ordinary Shares,$29.98,-1.27,-4.064%,3446963152.00,Netherlands,,745553,Health Care,Biotechnology: Pharmaceutical Preparations
NBIS,Nebius Group N.V. Class A Ordinary Shares,$100.82,-5.15,-4.86%,24006132341.00,Netherlands,2011,11492059,Technology,Computer Software: Programming Data Processing
NBTX,Nanobiotix S.A. American Depositary Shares,$29.95,-1.37,-4.374%,1420434187.00,France,2020,66900,Health Care,Biotechnology: Pharmaceutical Preparations
NCEL,NewcelX Ltd. Ordinary Shares,$2.22,-0.25,-10.121%,10119599.00,Switzerland,2021,17062,Health Care,Biotechnology: Pharmaceutical Preparations
NCNA,NuCana plc American Depositary Share,$1.40,-0.08,-5.405%,5826759.00,United Kingdom,2017,57097,Health Care,Biotechnology: Pharmaceutical Preparations
NEON,Neonode Inc. Common Stock,$1.27,-0.09,-6.618%,21314311.00,Sweden,,148173,Technology,Industrial Machinery/Components
NEXA,Nexa Resources S.A. Common Shares,$10.04,0.37,3.826%,1329683654.00,Luxembourg,2017,546472,Basic Materials,Metal Mining
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,$81.92,-0.48,-0.583%,81289951396.00,United Kingdom,,979775,Utilities,Natural Gas Distribution
NIPG,NIP Group Inc. American Depositary Shares,$0.65,-0.0737,-10.184%,145832542.00,Sweden,2024,8599,Consumer Discretionary,Services-Misc. Amusement & Recreation
NKLR,Terra Innovatum Global N.V. Ordinary shares,$4.52,-0.22,-4.641%,317760285.00,Italy,,613098,Industrials,Metal Fabrications
NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,$65.26,-1.14,-1.717%,1903523715.00,Greece,2007,180042,Consumer Discretionary,Marine Transportation
NNNN,Anbio Biotechnology Class A Ordinary Shares,$23.92,0.72,3.103%,3441877504.00,Germany,2025,28784,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NOK,Nokia Corporation Sponsored American Depositary Shares,$7.98,-0.30,-3.623%,45823072774.00,Finland,1994,50764553,Technology,Radio And Television Broadcasting And Communications Equipment
NOMD,Nomad Foods Limited Ordinary Shares,$9.74,0.04,0.412%,1383918536.00,United Kingdom,2016,1805047,Consumer Staples,Packaged Foods
NTZ,Natuzzi S.p.A.,$2.85,-0.23,-7.468%,31391636.00,Italy,1993,18057,Consumer Discretionary,Home Furnishings
NVCR,NovoCure Limited Ordinary Shares,$10.97,-0.79,-6.718%,1248324524.00,Jersey,2015,1212490,Health Care,Medical/Dental Instruments
NVO,Novo Nordisk A/S Common Stock,$36.04,-0.36,-0.989%,160918600000.00,Denmark,,14649535,Health Care,Biotechnology: Pharmaceutical Preparations
NVS,Novartis AG Common Stock,$148.18,-1.52,-1.015%,282749915794.00,Switzerland,,1983840,Health Care,Biotechnology: Pharmaceutical Preparations
NVT,nVent Electric plc Ordinary Shares ,$116.98,-1.46,-1.233%,18919113635.00,United Kingdom,2018,1741887,Industrials,Industrial Machinery/Components
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares),$14.27,-0.03,-0.21%,58699942943.00,United Kingdom,2022,4705084,Finance,Commercial Banks
NXPI,NXP Semiconductors N.V. Common Stock,$191.66,-5.26,-2.671%,48431110673.00,Netherlands,2010,2037477,Technology,Semiconductors
NYXH,Nyxoah SA Ordinary Shares,$2.82,-0.27,-8.738%,105544887.00,Belgium,2021,164330,Health Care,Medical/Dental Instruments
OCS,Oculis Holding AG Ordinary shares,$24.69,-0.30,-1.20%,1431635774.00,Switzerland,,126149,Health Care,Biotechnology: Pharmaceutical Preparations
OCSAW,Oculis Holding AG Warrants,$13.00,0.00,0.00%,753797694.00,Switzerland,,33,Health Care,Biotechnology: Pharmaceutical Preparations
OEC,Orion S.A. Common Shares,$6.06,-0.20,-3.195%,341018628.00,Luxembourg,2014,1002896,Industrials,Major Chemicals
OKYO,OKYO Pharma Limited Ordinary Shares,$1.53,-0.05,-3.165%,51775200.00,Guernsey,2022,159339,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ONMD,OneMedNet Corp Class A Common Stock,$0.8874,0.0096,1.094%,45262019.00,United Kingdom,2021,309216,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ONMDW,OneMedNet Corp Warrant,$0.0725,0.0011,1.541%,3697877.00,United Kingdom,2021,13481,Health Care,Biotechnology: Commercial Physical & Biological Resarch
OPRA,Opera Limited American Depositary Shares,$13.49,-0.43,-3.089%,1207366520.00,Norway,2018,464960,Technology,Computer Software: Prepackaged Software
